Rich Dad Poor Dad,1612680011,9781612680019,Rs. 170,,,Plata Pub,2011,Paperback,
Marketing Management : A South Asian Perspective 14th Edition (English) 14th  Edition,8131767167,9788131767160,Rs. 799,736 Pages,,Pearson India,2012,Paperback,English
Customer Service & Banking Codes and Standards (English),8171947948,9788171947942,Rs. 400,508 Pages,,Taxmann Publication Pvt. Ltd.,2010,Paperback,English
"Zero to One: Notes on Start Ups, or How to Build the Future : Notes on Start Ups, or How to Build the Future (English)",0753555190,9780753555194,Rs. 287,320 Pages,,Ebury Publishing,2014 September,Paperback,English
Magic of Thinking Big (English),1416511555,9781416511557,Rs. 150,352 Pages,,Pocket Books,2006 May,Paperback,English
Outliers: The Story of Success (English),0141036257,9780141036250,Rs. 288,,,Penguin Books Ltd,,Paperback,English
Who Moved My Cheese (English),0091816971,9780091816971,Rs. 99,,,Ebury Publishing,1999,Paperback,English
Ultimate Guide for SBI & Associates Bank Clerk Prelim & Main Exam (5th Edition) with FREE GK 2016 ebook (English) 4 Edition,9384905070,9789384905071,Rs. 500,532 Pages,Disha Experts,Disha Publication,2014,Paperback,English
The Intelligent Investor (English),0062312685,9780062312686,Rs. 347,640 Pages,Benjamin Graham,HarperCollins Publisher,2013,Paperback,English
Small and Medium Enterprises in India PB,9350713306,9789350713303,,320 Pages,,TAXMANN PUBLICATIONS PVT LTD.-NEW DELHI,2013,Paperback,
IIM-Day To Day Economics (English),8184001630,9788184001631,Rs. 154,230 Pages,Satish Y. Deodhar,Random House India,2016,Paperback,English
If You're So Smart Why Aren't You Happy (English),1785040413,9781785040412,Rs. 379,256 Pages,Raj Raghunathan,Random House,2016,Paperback,English
The Tipping Point: How Little Things Can Make a Big Difference (English),0349113467,9780349113463,Rs. 134,288 Pages,,"Little, Brown Book Group",2002,Paperback,English
Statistics for Management (English) 7th  Edition,8131774503,9788131774502,Rs. 625,1016 Pages,Richard I. Levin,Pearson India,2012,Paperback,English
"Options, Futures, And Other Derivatives (English)",8131790312,9788131790311,Rs. 689,,,Pearson India,2013,Paperback,English
Financial Management: Theory and Practice (English) 9th  Edition,9339222571,9789339222574,Rs. 750,1144 Pages,Prasanna Chandra,Mcgraw Hill Education,2015 July,Paperback,English
Bankers'Handbook On Credit Management,9350715031,9789350715031,Rs. 708,696 Pages,,TAXMANN PUBLICATIONS PVT LTD.-NEW DELHI,2014,Paperback,
Corporate Chanakya (English),8184951337,9788184951332,Rs. 237,340 Pages,,Jaico,2010,Paperback,English
The 7 Habits of Highly Effective People,1451639619,9781451639612,,,,Simon & Schuster,2013,Paperback,
The Leader Who Had No Title (English),8184951191,9788184951196,Rs. 170,216 Pages,,Jaico,2010,Paperback,English
Food Production Operations (With CD) (English) 2nd Edition,019945051X,9780199450510,Rs. 603,624 Pages,Parvinder S. Bali,Oxford University Press,2014,Paperback,English
EAT THAT FROG (English),1609946782,9781609946784,Rs. 79,144 Pages,,Harper Collins Publishers India,2012,Paperback,English
Fault Lines : How Hidden Fractures Still Threaten The World Economy (English),9350291738,9789350291733,Rs. 227,368 Pages,,HARPER COLLINS-NEW DELHI,2011,Paperback,English
The Presentation Secrets of Steve Jobs : How to Be Insanely Great in Front of Any Audience (English) 1st  Edition,0070683611,9780070683617,Rs. 350,256 Pages,Carmine Gallo,Mcgraw Hill Education,2009 November,Paperback,English
Stay Hungry Stay Foolish (English),9381626715,9789381626719,Rs. 89,394 Pages,,Westland,2012,Paperback,English
Connect the Dots (English),9381626707,9789381626702,Rs. 157,368 Pages,,Westland,2012,Paperback,English
How I Braved Anu Aunty and Co-Founded A Million Dollar Company (English),812911979X,9788129119797,Rs. 176,256 Pages,,Rupa Publication India,2012,Paperback,English
Deep Work: Rules for Focused Success in a Distracted World (English),0349413681,9780349413686,Rs. 340,304 Pages,Cal Newport,"Little, Brown Book Group UK",2016,Paperback,English
Principles Of Marketing: A South Asian Perspective (English) 13th  Edition,8131731014,9788131731017,Rs. 749,620 Pages,,Pearson India,2010,Paperback,English
Indian Economy : For Civil Services Examinations (English) 5th  Edition,125906428X,9781259064289,Rs. 499,728 Pages,Ramesh Singh,McGraw Hill Education,2013 June,Paperback,English
Handbook Of Banking Information (English),8186141863,9788186141861,Rs. 400,,,Skylark Publications,2015,Paperback,English
Marketing Research : An Applied Orientation (English) 6th Edition,8131731812,9788131731819,Rs. 759,1000 Pages,,Pearson India,2011,Paperback,English
Strengths Finder 2.0,159562015X,9781595620156,Rs. 466,,,Gallup,2007,Hardcover,
Elon Musk : How the Billionaire CEO of SpaceX and Tesla is shaping our Future (English),0753555638,9780753555637,Rs. 444,400 Pages,Ashlee Vance,Penguin Random House,2015,Paperback,English
The Lean Startup: How Constant Innovation Creates Radically Successful Businesses (English),0670921602,9780670921607,Rs. 390,,,Penguin Books Ltd,,Paperback,English
EVERYTHING YOU WANTED TO KNOW ABOUT STOCK MARKET INVESTING (English),938020096X,9789380200965,Rs. 399,,,TV18 Broadcast Ltd (CNBC TV18),,,English
How to Talk to Anyone (English),0007272618,9780007272617,Rs. 218,352 Pages,Leil Lowndes,Harper Element,2014 July,Paperback,English
Rich Dad\'s Business School For People Who Like Helping People (English),8186775811,9788186775813,Rs. 79,160 Pages,,Manjul Publishing House Pvt. Ltd.,2008,papeback,English
Copycat Marketing 101 (English),8182744466,9788182744462,Rs. 42,,,Manjul Publishing House Pvt. Ltd.,,papeback,English
Chanakya in You (English),8184956606,9788184956603,Rs. 209,256 Pages,Radhakrishnan Pillai,Jaico Publishing House,2060,Paperback,English
Jugaad Innovation: A frugal and flexible approach to innovation for the 21st century (English),818400205X,9788184002058,Rs. 264,336 Pages,,Random Business,2012,Hardcover,English
Anti - Money Laundering & Know Your Customer (English) 2nd  Edition,0230331963,9780230331969,Rs. 165,256 Pages,IIBF,Macmillan India,2010,Paperback,English
Finding Your Strength in Difficult Times (English) 1st  Edition,0070586284,9780070586284,Rs. 212,272 Pages,David Viscott,McGraw Hill Education (India) Private Limited,2004 December,Paperback,English
The Art of Thinking Clearly (English),144475954X,9781444759549,Rs. 183,336 Pages,,Hodder & Stoughton,2013,Hardcover,English
Security Analysis (English) 6th  Edition,0070140650,9780070140653,"Rs. 1,058",766 Pages,"David Dodd, Benjamin Graham",McGraw Hill Education (India) Private Limited,2008,Hardcover,English
Freakonomics : A Rogue Economist Explores the Hidden Side of Everything (English),0062312677,9780062312679,Rs. 183,336 Pages,"Stephen J. Dubner, Steven D. Levitt",HarperCollins Publisher,2009,Paperback,English
Quantitative Techniques in Management (English) 4th  Edition,9351340155,9789351340157,Rs. 490,1080 Pages,N. D. Vohra,Mcgraw Hill Education,2009 October,Paperback,English
Indian Financial System (English) 4th  Edition,9332518009,9789332518001,Rs. 364,862 Pages,Bharati Pathak,Pearson India,2014 June,Paperback,English
For JAIIB Legal & Regulatory Aspects Of Banking (English) 2ndReprint Edition,0230636101,9780230636101,Rs. 400,467 Pages,Finance,Macmillan Publishers India Litd,2012,Paperback,English
Leadership Wisdom : From the Monk Who Sold his Ferrari (English),8179922316,9788179922316,Rs. 213,272 Pages,Robin Sharma,Jaico,2003,Paperback,English
International Banking Operations PB (English) 1st Edition,0230632580,9780230632585,Rs. 271,296 Pages,,MACMILLAN INDIA LTD-NEW DELHI,2007,Paperback,English
The Goal A Process Of Ongoing Improvement,8185984565,9788185984568,Rs. 395,,,Productivity & Quality Publishing,0,Soft Cover,
"Investment Analysis And Portfolio Management, (W/Cd) (English) 4th  Edition",1259005992,9781259005992,Rs. 608,836 Pages,Prasanna Chandra,Mcgraw Hill Education,2012,Paperback,English
What Got You Here Won't Get You There: How successful people become even more successful (English),1781251568,9781781251560,Rs. 154,304 Pages,,Profile Books Ltd,2013,Paperback,English
Losing My Virginity (English),0753519550,9780753519554,Rs. 394,608 Pages,,Ebury Publishing,2009,Paperback,English
Marketing Management (English) 15 Edition,9332557187,9789332557185,Rs. 899,870 Pages,"Philip Kotler, Kevin Lane Keller",Pearson Education,2015,Paperback,English
I Too Had a Dream (English),8174364072,9788174364074,Rs. 221,250 Pages,Verghese Kurien,Roli Books,2007,Paperback,English
Blink: The Power of Thinking Without Thinking (English),0141014598,9780141014593,Rs. 166,,,Penguin Books Ltd,,Paperback,English
Think and Grow Rich,8183223656,9788183223652,Rs. 136,,Napoleon Hill,Manjul Publishing House,2013,Paperback,
Dream with Your Eyes Open : An Entrepreneurial Journey (English),8129135884,9788129135889,Rs. 395,208 Pages,Ronnie Screwvala,Rupa Publications India,2015 April,Hardcover,English
Pichai : The Future of Google (English),9351950611,9789351950615,Rs. 106,124 Pages,Jagmohan S. Bhanver,Hachette India,2015 December,Paperback,English
The Decision Book: Fifty Models for Strategic Thinking,1846683955,9781846683954,Rs. 194,,,Profile Books Ltd,2011,Hardcover,
Beyond The Mba Hype : A Guide to Understanding and Surviving B-Schools (English),9350290782,9789350290781,Rs. 209,186 Pages,,Collins Business,2013,Paperback,English
$100 Startup (English),023076651X,9780230766518,Rs. 569,,,MacMillan,,Paperback,English
Becoming Steve Jobs: The evolution of a reckless upstart into a visionary leader : The Evolution of a Reckless Upstart Into a Visionary Leader (English),1444761986,9781444761986,Rs. 519,464 Pages,,Hodder & Stoughton,2015 March,Hardcover,English
How to Win Friends and Influence People (English),1439199191,9781439199190,Rs. 700,276 Pages,,Pocket Books,2010 April,Paperback,English
"Why Nations Fail: The Origins of Power, Prosperity and Poverty",1846684307,9781846684302,Rs. 489,,,Profile Books Ltd,2013,Paperback,
"Creativity, Inc. : Overcoming the Unseen Forces That Stand in the Way of True Inspiration (English)",0593070100,9780593070109,Rs. 454,368 Pages,,Transworld,2014 April,Paperback,English
Money - Master the Game : 7 simple Steps to Financial Freedom (English),147114335X,9781471143359,,688 Pages,Tony Robbins,Simon & Schuster,2014,Paperback,English
Capital in the Twenty-First Century,067443000X,9780674430006,"Rs. 1,295",,,Belknap Pr,2014,Hardcover,
The Wolf of Wall Street (English),1444778129,9781444778120,Rs. 259,528 Pages,,Hodder & Stoughton,2013,Paperback,English
Breakout Nations: In Pursuit of the Next Economic Miracles (English),0241957818,9780241957813,Rs. 499,,,Penguin Books Ltd,,Paperback,English
Poor Economics: Rethinking Poverty & the Ways to End it (English),8184002807,9788184002805,Rs. 324,464 Pages,,Vintage Books/ Random House India,2013,Paperback,English
The Game Changers : 20 Extraordinary Success Stories Of Entrepreneurs From Iit Kharagpur (English),8184002734,9788184002737,Rs. 194,262 Pages,,Random House India,2012,Paperback,English
A Better India: A Better World (English),067008283X,9780670082834,Rs. 450,320 Pages,,Penguin Publishing Group,2009 April,Hardcover,English
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,0141031484,9780141031484,Rs. 424,,,Penguin Books Ltd,2007,Paperback,
It Happened In India (English),8129111373,9788129111371,Rs. 233,280 Pages,,Rupa Publication,2007,Paperback,English
The Billionaire's Apprentice: The Rise of the Indian-American Elite and the Fall of the Galleon Hedge Fund : The Rise of the Indian - American Elite and the Fall of the Galleon Hedge Fund (English),9350097362,9789350097366,Rs. 324,512 Pages,,Hachette India,2013 June,Paperback,English
"Superfreakonomics : Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance (English)",0061932922,9780061932922,Rs. 259,288 Pages,"Stephen J. Dubner, Steven D. Levitt",HarperCollins Publisher,2010,Paperback,English
"Superfreakonomics : Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance (English)",0061941220,9780061941221,"Rs. 1,299",304 Pages,"Steven D. Levitt, Stephen J. Dubner",William Morrow & Company,2010 October,Hardcover,English
ReWork,0091929784,9780091929787,Rs. 422,,,Ebury Publishing,2010,Paperback,
"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers (English) 1st Edition",8126533676,9788126533671,Rs. 454,288 Pages,Yves Pigneur Alexander Osterwalder,Wiley India Pvt. Ltd.,2011,Paperback,English
